,Data,Model,MSE,MAE,MAPE
0,ada,LSTM-CNN,0.00831693,0.081876576,0.27373183
1,btc,LSTM-CNN,0.0025129188,0.042861994,1.7112453
2,doge,LSTM-CNN,0.0032583496,0.050316196,3.299424
3,eth,LSTM-CNN,0.0028480194,0.03912339,0.39182
4,xmr,LSTM-CNN,0.0032831419,0.046870563,1.8568596
5,xrp,LSTM-CNN,0.0010337633,0.026126165,1.0830188
6,aave,LSTM-CNN,0.20980984,0.44254997,0.63361925
