,Data,Model,MSE,MAE,MAPE
0,ada,Transformer,0.35933664,0.58180255,1.5811217
1,btc,Transformer,0.0002489281,0.010699502,0.15496458
2,doge,Transformer,0.0012401155,0.026136985,0.971763
3,eth,Transformer,0.41964984,0.6082241,13.354861
4,xmr,Transformer,0.00032649195,0.012543598,0.7241922
5,xrp,Transformer,0.041647237,0.17376703,6.7969346
6,aave,Transformer,0.0138831055,0.09304719,0.14539513
