,Data,Model,MSE,MAE,MAPE
0,ada,LSTM_sentiment,0.0032984195,0.050397646,0.19697651
1,btc,LSTM_sentiment,0.00048568004,0.015870545,0.17137824
2,doge,LSTM_sentiment,0.00025477653,0.013051076,1.0908164
3,eth,LSTM_sentiment,0.0013433631,0.034301523,0.8528014
4,xmr,LSTM_sentiment,0.00023858418,0.012692691,0.3076815
5,xrp,LSTM_sentiment,0.0011023534,0.022688378,0.8996333
6,aave,LSTM_sentiment,0.23975268,0.47000328,0.6718777
