,Data,Model,MSE,MAE,MAPE
0,ada,LSTM,0.018989109,0.121723376,0.49423566
1,btc,LSTM,0.0049301027,0.058811244,0.38276988
2,doge,LSTM,0.00085920707,0.023134435,2.2984993
3,eth,LSTM,0.0022214677,0.039745986,1.3276638
4,xmr,LSTM,0.000498199,0.018085962,0.51863337
5,xrp,LSTM,0.00054107973,0.018221423,0.8804688
6,aave,LSTM,0.30762374,0.5408849,0.7802528
